municipality_name,Latitude,Longitude
Skrwilno,53.0166946,19.6247985
Wąpielsk,53.1379462,19.278022
Kamień Krajeński,53.5333203,17.5199143
Sępólno Krajeńskie,53.4547434,17.5348373
Sośno,53.3894364,17.6869789
Więcbork,53.3525453,17.4873925
Bukowiec,54.2883329,20.4007718
Dragacz,53.5023182,18.7306853
Drzycim,53.5136442,18.3167474
Jeżewo,53.94881,17.84831
Lniano,53.52917,18.2204
Nowe,53.6462325,18.7290468
Osie,53.5983538,18.3475463
Pruszcz,54.25764755,18.650104044555775
Świecie,53.4072518,18.4455253
Świekatowo,53.4191287,18.0910791
Warlubie,53.5876369,18.6274848
Chełmża,53.1860233,18.6112806
Chełmża,53.1860233,18.6112806
Czernikowo,52.94226,18.9373
Lubicz,50.9020156,17.5677422
Łubianka,53.3971527,23.2277522
Łysomice,54.331,17.15318
Obrowo,52.9711744,18.878894
Wielka Nieszawka,52.9972983,18.5074609
Zławieś Wielka,53.0969614,18.3280492
Cekcyn,53.5747748,18.0085468
Gostycyn,53.4888974,17.8095094
Kęsowo,53.5579001,17.7146089
Lubiewo,53.81238,21.52574
Śliwice,51.1286114,17.21408
Tuchola,53.5880901,17.8590414
Wąbrzeźno,53.27835005,18.94049477910491
Dębowa Łąka,53.2569001,19.0938907
Książki,53.3281833,19.0703024
Płużnica,53.300104,18.7767919
Ryńsk,53.2306158,18.8227481
Kowal,52.53187295,19.144624707024313
Baruchowo,52.4901,19.23972
Boniewo,52.46575,18.88541
Brześć Kujawski,52.6048164,18.9015463
Choceń,52.485778,19.0180728
Chodecz,52.4051735,19.0272596
Fabianki,53.7546827,19.4698165
Izbica Kujawska,52.41925,18.76435
Kowal,52.53187295,19.144624707024313
Lubanie,52.743229,18.9192492
Lubień Kujawski,52.40736,19.16018
Lubraniec,52.543083,18.8315832
Włocławek,52.6655636,19.096129748054388
Barcin,52.8632346,17.9472463
Gąsawa,52.76856,17.75631
Janowiec Wielkopolski,52.7567264,17.4887698
Łabiszyn,52.9528653,17.9205877
Rogowo,53.0178493,21.0155846
Żnin,52.848462,17.7218791
Bydgoszcz,53.1219648,18.0002529
Grudziądz,53.47251195,18.761893676880046
Toruń,53.0102721,18.6048094
Włocławek,52.6655636,19.096129748054388
Międzyrzec Podlaski,51.9853172,22.7842492
Terespol,52.0765155,23.62223356965026
Biała Podlaska,52.029031849999996,23.14940947957289
Drelów,51.9120435,22.8715008
Janów Podlaski,52.1971205,23.2078844
Kodeń,51.911428,23.6027774
Konstantynów,52.2075,23.0861111
Leśna Podlaska,52.13081,23.02983
Łomazy,51.9027665,23.1755843
Międzyrzec Podlaski,51.9853172,22.7842492
Piszczac,51.9804862,23.3776226
Rokitno,50.4757235,23.7829242
Rossosz,51.8574257,23.1358499
Sławatycze,51.7635674,23.5555236
Sosnówka,51.316055,17.455637
Terespol,52.0765155,23.62223356965026
Tuczna,51.8802647,23.4246485
Wisznice,51.7870625,23.2097041
Zalesie,52.2260836,19.1680872
Biłgoraj,50.5424846,22.7209326
Aleksandrów,52.3046139,19.9520132
Biłgoraj,50.5424846,22.7209326
Biszcza,50.4008703,22.6507044
Frampol,50.671832,22.6698666
Goraj,50.7212294,22.6682146
Józefów,50.4808298,23.0540591
Księżpol,50.4222214,22.7344072
Łukowa,50.3787022,22.9191313
Obsza,50.31523,22.96182
Potok Górny,50.3857126,22.5529402
Tarnogród,50.361309,22.7419384
Tereszpol,50.56584895,22.8877138032787
Turobin,50.8218458,22.7448995
Rejowiec Fabryczny,51.1191844,23.2467333
Białopole,50.9847276,23.7331781
Chełm,51.1339221,23.4711548
Dorohusk,51.1608274,23.803447
Dubienka,51.0476985,23.8938053
Kamień,50.9527248,15.3697507
Leśniowice,50.9967531,23.496990304601972
Rejowiec Fabryczny,51.1191844,23.2467333
Ruda-Huta,51.2357998,23.5929545
Sawin,51.2724096,23.4366676
Siedliszcze,51.1946235,23.1648455
Wierzbica,51.2492925,21.0792463
Wojsławice,50.9195986,23.5474493
Żmudź,51.0243729,23.6726761
Rejowiec,51.0945453,23.2832851
Hrubieszów,50.80679625,23.886349876429893
Dołhobyczów,50.5867411,24.0348579
Horodło,50.8940559,24.0457508
Hrubieszów,50.80679625,23.886349876429893
Mircze,50.6522373,23.899667
Trzeszczany,50.8216667,23.7530557
Uchanie,50.9079164,23.6471712
Werbkowice,50.7509575,23.767431
Batorz,50.8494606,22.49271
Chrzanów,50.1411926,19.4028502
Dzwola,50.6952887,22.5658462
Godziszów,49.7604608,18.7574969
Janów Lubelski,50.7065895,22.4110663
Modliborzyce,50.7534467,22.3291714
Potok Wielki,50.6071912,20.2158624
Krasnystaw,50.9844757,23.1635704
Fajsławice,51.0954314,22.9624072
Gorzków,50.2225963,20.5040381
Izbica,50.8927773,23.1587974
Krasnystaw,50.9844757,23.1635704
Kraśniczyn,50.9329004,23.351823
Łopiennik Górny,51.0441503,23.0220663
Rudnik,50.4447766,22.2440326
Siennica Różana,50.99831655,23.295927788539625
Żółkiewka,50.9096686,22.8346715
Kraśnik,50.9249236,22.229206
Annopol,50.8851655,21.8550836
Dzierzkowice,49.9883846,17.8471127
Gościeradów,50.86483025,22.010687559937587
Kraśnik,50.9249236,22.229206
Szastarka,50.8563735,22.3264392
Trzydnik Duży,50.8547715,22.1329203
Urzędów,50.9939046,22.1435756
Wilkołaz,50.9866016,22.3280204
Zakrzówek,50.9511963,22.379799
Lubartów,51.45852415,22.61199725126893
Abramów,51.4565215,22.3154548
Firlej,51.5582926,22.5054567
Jeziorzany,51.6012715,22.2772227
Kamionka,51.4711228,22.4644249
Kock,51.6383917,22.4478158
Lubartów,51.45852415,22.61199725126893
Michów,51.52365,22.3137905
Niedźwiada,52.1421631,19.8977247
Ostrów Lubelski,51.4971197,22.8554683
Ostrówek,51.5743996,22.6158549
Serniki,51.4370567,22.658139
Uścimów,51.4787334,22.956828061613145
Bełżyce,51.175063,22.2749995
Borzechów,51.0940703,22.2785848
Bychawa,51.0152225,22.534535
Garbów,52.1582089,19.5852566
Głusk,51.1911864,22.5968718
Jabłonna,52.3766761,20.9177941
Jastków,51.3096822,22.4392406
Konopnica,51.226236,22.4614994
Krzczonów,50.8184263,16.5662198
Niedrzwica Duża,51.1142462,22.3878472
