"","mncplty_c","Longitude","Latitude","within_russian","within_prussian","within_austrian"
"1306","1605053",18.1129765757514,50.4335149992797,FALSE,TRUE,FALSE
"1307","1606012",17.8711078102414,51.046289300334,FALSE,TRUE,FALSE
"1308","1606023",17.7014467240365,51.0705792194977,FALSE,TRUE,FALSE
"1309","1606032",17.8736730286057,50.9223501204713,FALSE,TRUE,FALSE
"1310","1606042",17.7643392189451,50.9661308430588,FALSE,TRUE,FALSE
"1311","1606052",17.6354746469247,51.1284735717552,FALSE,TRUE,FALSE
"1312","1607013",17.3722148726833,50.3382356269653,FALSE,TRUE,FALSE
"1313","1607022",17.1547251956389,50.5630368445614,FALSE,TRUE,FALSE
"1314","1607033",17.6037657737389,50.4797175030582,FALSE,TRUE,FALSE
"1315","1607042",17.5268442533111,50.5362714685611,FALSE,TRUE,FALSE
"1316","1607053",17.3532292742787,50.456010039781,FALSE,TRUE,FALSE
"1317","1607063",17.1732206834434,50.4510755485049,FALSE,TRUE,FALSE
"1318","1607073",17.0246588549038,50.4440373791319,FALSE,TRUE,FALSE
"1319","1607082",17.3173849587884,50.5467124785956,FALSE,TRUE,FALSE
"1320","1607092",17.3839385631027,50.5950012525502,FALSE,TRUE,FALSE
"1321","1608013",18.4497366093888,50.7277272261441,FALSE,TRUE,FALSE
"1322","1608023",18.3888518368397,51.0404561228191,TRUE,TRUE,FALSE
"1323","1608033",18.4636892495339,50.8714108555419,TRUE,TRUE,FALSE
"1324","1608043",18.4934455292249,51.0699968615078,TRUE,TRUE,FALSE
"1325","1608052",18.5333073098033,50.9439253836947,TRUE,TRUE,FALSE
"1326","1608062",18.6064638243549,51.0264119543305,TRUE,TRUE,FALSE
"1327","1608072",18.3220640647926,50.7748367555502,FALSE,TRUE,FALSE
"1328","1609012",18.0885674225619,50.6498237981651,FALSE,TRUE,FALSE
"1329","1609022",17.7716206184773,50.7026960352,FALSE,TRUE,FALSE
"1330","1609032",17.8664574892783,50.7730719551164,FALSE,TRUE,FALSE
"1331","1609042",17.8136958153695,50.6310769284305,FALSE,TRUE,FALSE
"1332","1609052",18.0034409808239,50.7902048558707,FALSE,TRUE,FALSE
"1333","1609062",17.9968743642277,50.8844306181233,FALSE,TRUE,FALSE
"1334","1609073",17.5785882145623,50.6479019123618,FALSE,TRUE,FALSE
"1335","1609083",18.2203469987655,50.6918107279343,FALSE,TRUE,FALSE
"1336","1609092",17.7352732354344,50.8477678891917,FALSE,TRUE,FALSE
"1337","1609103",17.8773889785895,50.5747362408715,FALSE,TRUE,FALSE
"1338","1609112",18.050469453245,50.5829651731896,FALSE,TRUE,FALSE
"1339","1609123",17.7020903933662,50.5912021670499,FALSE,TRUE,FALSE
"1340","1609132",18.1098513323961,50.7517614648201,FALSE,TRUE,FALSE
"1341","1610013",17.6981088123206,50.427564085016,FALSE,TRUE,FALSE
"1342","1610023",17.8649556860922,50.34207252246,FALSE,TRUE,FALSE
"1343","1610032",17.6496864282719,50.3214608082279,FALSE,TRUE,FALSE
"1344","1610043",17.5240604183058,50.3376490289459,FALSE,TRUE,FALSE
"1345","1611012",18.1678153650211,50.5661514780438,FALSE,TRUE,FALSE
"1346","1611022",18.3948115671295,50.571836129373,FALSE,TRUE,FALSE
"1347","1611033",18.3733996217114,50.6587427439628,FALSE,TRUE,FALSE
"1348","1611043",18.2129412805689,50.432438473329,FALSE,TRUE,FALSE
"1349","1611053",18.2858113152795,50.5332912695417,FALSE,TRUE,FALSE
"1350","1611063",18.3303142911348,50.4304763946549,FALSE,TRUE,FALSE
"1351","1611073",18.5254592672425,50.5864516327838,FALSE,TRUE,FALSE
"1352","1661011",17.9414283088338,50.6596344795466,FALSE,TRUE,FALSE
"1353","1801032",22.6077333092151,49.3054745494537,FALSE,FALSE,TRUE
"1354","1801052",22.673369567581,49.1506103268564,FALSE,FALSE,TRUE
"1355","1801083",22.5822493263618,49.4873980975297,FALSE,FALSE,TRUE
"1356","1802013",22.0334021238139,49.687637687485,FALSE,FALSE,TRUE
"1357","1802022",22.002396615772,49.7897399055174,FALSE,FALSE,TRUE
"1358","1802032",22.1937265116277,49.6838240398016,FALSE,FALSE,TRUE
"1359","1802042",21.927713757534,49.6622197596181,FALSE,FALSE,TRUE
"1360","1802052",21.9457006551434,49.7461566913506,FALSE,FALSE,TRUE
"1361","1802062",22.1556961179071,49.7646421961875,FALSE,FALSE,TRUE
"1362","1803011",21.4215171707077,50.0440117737385,FALSE,FALSE,TRUE
"1363","1803023",21.4312954813655,49.8970204166557,FALSE,FALSE,TRUE
"1364","1803032",21.2526470547344,50.0803401244945,FALSE,FALSE,TRUE
"1365","1803042",21.4677536816097,50.0555896468412,FALSE,FALSE,TRUE
"1366","1803052",21.2999030829946,49.8781956341411,FALSE,FALSE,TRUE
"1367","1803063",21.2734264620801,49.9751619698978,FALSE,FALSE,TRUE
"1368","1803072",21.3864863065702,50.1151744690598,FALSE,FALSE,TRUE
"1369","1804011",22.6720054977096,50.0367719605462,FALSE,FALSE,TRUE
"1370","1804021",22.8274554606159,49.9543746842937,FALSE,FALSE,TRUE
